UPZMUNCC,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,division_lvl,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
ALIKADAM,2026,3,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
ALIKADAM,2026,4,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
ALIKADAM,2026,5,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
ALIKADAM,2026,6,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
ALIKADAM,2026,7,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
ALIKADAM,2026,8,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
ALIKADAM,2026,9,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
ALIKADAM,2026,10,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
ALIKADAM,2026,11,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
ALIKADAM,2026,12,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,-0.2817325568414294,-0.9594929736144975
ALIKADAM,2026,13,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,-0.5406408174555976,-0.8412535328311812
ALIKADAM,2026,14,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,-0.7557495743542582,-0.6548607339452852
ALIKADAM,2026,15,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,-0.909631995354518,-0.41541501300188716
ALIKADAM,2026,16,7,1,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,0.0,0,-0.9898214418809327,-0.14231483827328523
ALIKADAM,2026,17,0,0,7.0,0.36363636363636365,2,CHITTAGONG,7.0,0.0,7.0,1,-0.9898214418809328,0.14231483827328487
ALIKADAM,2026,18,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,7.0,7.0,0,-0.9096319953545186,0.41541501300188605
ALIKADAM,2026,19,1,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,7.0,0,-0.7557495743542587,0.6548607339452845
ALIKADAM,2026,20,0,0,1.0,0.36363636363636365,2,CHITTAGONG,1.0,0.0,1.0,1,-0.5406408174555974,0.8412535328311812
ALIKADAM,2026,21,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,1.0,1.0,0,-0.2817325568414298,0.9594929736144974
ALIKADAM,2026,22,0,0,0.0,0.36363636363636365,2,CHITTAGONG,0.0,0.0,1.0,0,-1.133107779529596e-15,1.0
AMTALI,2026,1,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
AMTALI,2026,2,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
AMTALI,2026,3,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
AMTALI,2026,4,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
AMTALI,2026,5,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
AMTALI,2026,6,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
AMTALI,2026,7,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
AMTALI,2026,8,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
AMTALI,2026,9,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
AMTALI,2026,10,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
AMTALI,2026,11,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
AMTALI,2026,12,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,-0.2817325568414294,-0.9594929736144975
AMTALI,2026,13,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,-0.5406408174555976,-0.8412535328311812
AMTALI,2026,14,1,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,-0.7557495743542582,-0.6548607339452852
AMTALI,2026,15,1,0,1.0,0.22727272727272727,5,BARISAL,1.0,0.0,1.0,1,-0.909631995354518,-0.41541501300188716
AMTALI,2026,16,1,0,1.0,0.22727272727272727,5,BARISAL,1.0,1.0,2.0,1,-0.9898214418809327,-0.14231483827328523
AMTALI,2026,17,1,0,1.0,0.22727272727272727,5,BARISAL,1.0,1.0,3.0,1,-0.9898214418809328,0.14231483827328487
AMTALI,2026,18,0,0,1.0,0.22727272727272727,5,BARISAL,1.0,1.0,3.0,1,-0.9096319953545186,0.41541501300188605
AMTALI,2026,19,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,1.0,2.0,0,-0.7557495743542587,0.6548607339452845
AMTALI,2026,20,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,1.0,0,-0.5406408174555974,0.8412535328311812
AMTALI,2026,21,0,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,-0.2817325568414298,0.9594929736144974
AMTALI,2026,22,1,0,0.0,0.22727272727272727,5,BARISAL,0.0,0.0,0.0,0,-1.133107779529596e-15,1.0
ANOWARA,2026,1,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
ANOWARA,2026,2,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
ANOWARA,2026,3,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
ANOWARA,2026,4,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
ANOWARA,2026,5,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
ANOWARA,2026,6,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
ANOWARA,2026,7,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
ANOWARA,2026,8,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
ANOWARA,2026,9,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
ANOWARA,2026,10,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
ANOWARA,2026,11,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
ANOWARA,2026,12,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,-0.2817325568414294,-0.9594929736144975
ANOWARA,2026,13,0,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,-0.5406408174555976,-0.8412535328311812
ANOWARA,2026,14,1,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,0.0,0.0,0,-0.7557495743542582,-0.6548607339452852
ANOWARA,2026,15,0,0,1.0,0.2727272727272727,6,CHITTAGONG,1.0,0.0,1.0,1,-0.909631995354518,-0.41541501300188716
ANOWARA,2026,16,1,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,1.0,1.0,0,-0.9898214418809327,-0.14231483827328523
ANOWARA,2026,17,0,0,1.0,0.2727272727272727,6,CHITTAGONG,1.0,0.0,2.0,1,-0.9898214418809328,0.14231483827328487
ANOWARA,2026,18,1,0,0.0,0.2727272727272727,6,CHITTAGONG,0.0,1.0,1.0,0,-0.9096319953545186,0.41541501300188605
ANOWARA,2026,19,1,0,1.0,0.2727272727272727,6,CHITTAGONG,1.0,0.0,2.0,1,-0.7557495743542587,0.6548607339452845
ANOWARA,2026,20,1,0,1.0,0.2727272727272727,6,CHITTAGONG,1.0,1.0,2.0,1,-0.5406408174555974,0.8412535328311812
ANOWARA,2026,21,1,0,1.0,0.2727272727272727,6,CHITTAGONG,1.0,1.0,3.0,1,-0.2817325568414298,0.9594929736144974
ANOWARA,2026,22,0,0,1.0,0.2727272727272727,6,CHITTAGONG,1.0,1.0,3.0,1,-1.133107779529596e-15,1.0
ARAIHAZAR,2026,1,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
ARAIHAZAR,2026,2,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
ARAIHAZAR,2026,3,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
ARAIHAZAR,2026,4,1,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
ARAIHAZAR,2026,5,0,0,1.0,0.4090909090909091,7,DHAKA,1.0,0.0,1.0,1,0.9898214418809327,0.14231483827328512
ARAIHAZAR,2026,6,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,1.0,1.0,0,0.9898214418809328,-0.142314838273285
ARAIHAZAR,2026,7,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,1.0,0,0.9096319953545184,-0.4154150130018863
ARAIHAZAR,2026,8,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
ARAIHAZAR,2026,9,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
ARAIHAZAR,2026,10,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
ARAIHAZAR,2026,11,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
ARAIHAZAR,2026,12,0,0,0.0,0.4090909090909091,7,DHAKA,0.0,0.0,0.0,0,-0.2817325568414294,-0.9594929736144975
